Size,Type,Algorithm,Time_microseconds
6100,Random,Hybrid Merge+Insertion Sort,3437
6100,Reverse Sorted,Standard Merge Sort,13029
6100,Reverse Sorted,Hybrid Merge+Insertion Sort,3005
6100,Nearly Sorted,Standard Merge Sort,13939
6100,Nearly Sorted,Hybrid Merge+Insertion Sort,2723
6200,Random,Standard Merge Sort,13869
6200,Random,Hybrid Merge+Insertion Sort,3538
6200,Reverse Sorted,Standard Merge Sort,14417
6200,Reverse Sorted,Hybrid Merge+Insertion Sort,3590
6200,Nearly Sorted,Standard Merge Sort,13837
6200,Nearly Sorted,Hybrid Merge+Insertion Sort,2758
6300,Random,Standard Merge Sort,15149
6300,Random,Hybrid Merge+Insertion Sort,4026
6300,Reverse Sorted,Standard Merge Sort,15661
6300,Reverse Sorted,Hybrid Merge+Insertion Sort,4186
6300,Nearly Sorted,Standard Merge Sort,15827
6300,Nearly Sorted,Hybrid Merge+Insertion Sort,3295
6400,Random,Standard Merge Sort,17255
6400,Random,Hybrid Merge+Insertion Sort,4326
6400,Reverse Sorted,Standard Merge Sort,15652
6400,Reverse Sorted,Hybrid Merge+Insertion Sort,3661
6400,Nearly Sorted,Standard Merge Sort,15753
6400,Nearly Sorted,Hybrid Merge+Insertion Sort,3487
6500,Random,Standard Merge Sort,16076
6500,Random,Hybrid Merge+Insertion Sort,4412
6500,Reverse Sorted,Standard Merge Sort,16447
6500,Reverse Sorted,Hybrid Merge+Insertion Sort,3812
6500,Nearly Sorted,Standard Merge Sort,16519
6500,Nearly Sorted,Hybrid Merge+Insertion Sort,3615
6600,Random,Standard Merge Sort,15606
6600,Random,Hybrid Merge+Insertion Sort,3766
6600,Reverse Sorted,Standard Merge Sort,15004
6600,Reverse Sorted,Hybrid Merge+Insertion Sort,3228
6600,Nearly Sorted,Standard Merge Sort,15055
6600,Nearly Sorted,Hybrid Merge+Insertion Sort,3154
6700,Random,Standard Merge Sort,15286
6700,Random,Hybrid Merge+Insertion Sort,5750
6700,Reverse Sorted,Standard Merge Sort,14835
6700,Reverse Sorted,Hybrid Merge+Insertion Sort,3282
6700,Nearly Sorted,Standard Merge Sort,14278
6700,Nearly Sorted,Hybrid Merge+Insertion Sort,2911
6800,Random,Standard Merge Sort,17611
6800,Random,Hybrid Merge+Insertion Sort,4422
6800,Reverse Sorted,Standard Merge Sort,14568
6800,Reverse Sorted,Hybrid Merge+Insertion Sort,3324
6800,Nearly Sorted,Standard Merge Sort,14476
6800,Nearly Sorted,Hybrid Merge+Insertion Sort,2942
6900,Random,Standard Merge Sort,15829
6900,Random,Hybrid Merge+Insertion Sort,6198
6900,Reverse Sorted,Standard Merge Sort,15624
6900,Reverse Sorted,Hybrid Merge+Insertion Sort,3669
6900,Nearly Sorted,Standard Merge Sort,14791
6900,Nearly Sorted,Hybrid Merge+Insertion Sort,3279
7000,Random,Standard Merge Sort,20530
7000,Random,Hybrid Merge+Insertion Sort,4845
7000,Reverse Sorted,Standard Merge Sort,17976
7000,Reverse Sorted,Hybrid Merge+Insertion Sort,3544
7000,Nearly Sorted,Standard Merge Sort,14974
7000,Nearly Sorted,Hybrid Merge+Insertion Sort,3020
7100,Random,Standard Merge Sort,18613
7100,Random,Hybrid Merge+Insertion Sort,5360
7100,Reverse Sorted,Standard Merge Sort,16005
7100,Reverse Sorted,Hybrid Merge+Insertion Sort,3455
7100,Nearly Sorted,Standard Merge Sort,16674
7100,Nearly Sorted,Hybrid Merge+Insertion Sort,4344
7200,Random,Standard Merge Sort,18410
7200,Random,Hybrid Merge+Insertion Sort,3974
7200,Reverse Sorted,Standard Merge Sort,15646
7200,Reverse Sorted,Hybrid Merge+Insertion Sort,3514
7200,Nearly Sorted,Standard Merge Sort,21594
7200,Nearly Sorted,Hybrid Merge+Insertion Sort,6124
7300,Random,Standard Merge Sort,17628
7300,Random,Hybrid Merge+Insertion Sort,4229
7300,Reverse Sorted,Standard Merge Sort,16179
7300,Reverse Sorted,Hybrid Merge+Insertion Sort,3701
7300,Nearly Sorted,Standard Merge Sort,16000
7300,Nearly Sorted,Hybrid Merge+Insertion Sort,3099
7400,Random,Standard Merge Sort,16794
7400,Random,Hybrid Merge+Insertion Sort,4099
7400,Reverse Sorted,Standard Merge Sort,15655
7400,Reverse Sorted,Hybrid Merge+Insertion Sort,3634
7400,Nearly Sorted,Standard Merge Sort,17378
7400,Nearly Sorted,Hybrid Merge+Insertion Sort,3960
7500,Random,Standard Merge Sort,20434
7500,Random,Hybrid Merge+Insertion Sort,5227
7500,Reverse Sorted,Standard Merge Sort,21203
7500,Reverse Sorted,Hybrid Merge+Insertion Sort,4993
7500,Nearly Sorted,Standard Merge Sort,21104
7500,Nearly Sorted,Hybrid Merge+Insertion Sort,4753
7600,Random,Standard Merge Sort,26344
7600,Random,Hybrid Merge+Insertion Sort,5638
7600,Reverse Sorted,Standard Merge Sort,20413
7600,Reverse Sorted,Hybrid Merge+Insertion Sort,4635
7600,Nearly Sorted,Standard Merge Sort,21105
7600,Nearly Sorted,Hybrid Merge+Insertion Sort,4120
7700,Random,Standard Merge Sort,20252
7700,Random,Hybrid Merge+Insertion Sort,5355
7700,Reverse Sorted,Standard Merge Sort,16161
7700,Reverse Sorted,Hybrid Merge+Insertion Sort,4433
7700,Nearly Sorted,Standard Merge Sort,19884
7700,Nearly Sorted,Hybrid Merge+Insertion Sort,4239
7800,Random,Standard Merge Sort,20078
7800,Random,Hybrid Merge+Insertion Sort,5426
7800,Reverse Sorted,Standard Merge Sort,19702
7800,Reverse Sorted,Hybrid Merge+Insertion Sort,4522
7800,Nearly Sorted,Standard Merge Sort,17994
7800,Nearly Sorted,Hybrid Merge+Insertion Sort,3873
7900,Random,Standard Merge Sort,17645
7900,Random,Hybrid Merge+Insertion Sort,5241
7900,Reverse Sorted,Standard Merge Sort,17139
7900,Reverse Sorted,Hybrid Merge+Insertion Sort,4147
7900,Nearly Sorted,Standard Merge Sort,17523
7900,Nearly Sorted,Hybrid Merge+Insertion Sort,3770
8000,Random,Standard Merge Sort,18912
8000,Random,Hybrid Merge+Insertion Sort,5948
